city,high,low,measurement,midnight,pollutant,site,year
Greater%20Manchester,9.185672511842105,10.716860461598838,µg/m3,12.155393582478135,PM2.5,Station_GB0660A,2016.0
Greater%20Manchester,9.457327582629311,11.476371304599157,µg/m3,12.300843878818565,PM2.5,Station_GB0864A,2016.0
Greater%20Manchester,9.372543349508671,7.038483961982507,µg/m3,8.536023051354466,PM2.5,Station_GB0613A,2017.0
Greater%20Manchester,9.345272202636103,11.422571425228572,µg/m3,12.587142853428574,PM2.5,Station_GB0660A,2017.0
Greater%20Manchester,8.887650599246989,10.745092020920247,µg/m3,11.711999996553844,PM2.5,Station_GB0864A,2017.0
Greater%20Manchester,11.48965516933908,9.263478257710144,µg/m3,10.248554909855493,PM2.5,Station_GB0613A,2018.0
Greater%20Manchester,9.844310227722772,10.871720391677632,µg/m3,11.433819668295083,PM2.5,Station_GB0660A,2018.0
Greater%20Manchester,10.196193767716263,11.694463664429065,µg/m3,12.944982695363322,PM2.5,Station_GB0864A,2018.0
Greater%20Manchester,82.40024855948276,47.60322437648415,µg/m3,68.0913371429395,NOX as NO2,Station_GB0613A,2016.0
Greater%20Manchester,49.77996333882022,47.061758815571956,µg/m3,52.23857911798867,NOX as NO2,Station_GB0660A,2016.0
Greater%20Manchester,19.686012393305784,24.001170161845728,µg/m3,28.52290567096419,NOX as NO2,Station_GB0034R,2016.0
Greater%20Manchester,36.253115774910185,35.943651803534145,µg/m3,37.78894800855422,NOX as NO2,Station_GB0864A,2016.0
Greater%20Manchester,96.6043270154039,30.7473219595092,µg/m3,56.50063274388102,NOX as NO2,Station_GB1031A,2016.0
Greater%20Manchester,62.728949563948134,34.725140025565224,µg/m3,46.31530802527537,NOX as NO2,Station_GB1040A,2016.0
Greater%20Manchester,67.70344982670423,41.27848731675471,µg/m3,53.55471194002818,NOX as NO2,Station_GB0613A,2017.0
Greater%20Manchester,43.54001678258241,38.20172732933333,µg/m3,38.54985159415978,NOX as NO2,Station_GB0660A,2017.0
Greater%20Manchester,16.91381907064815,17.084710088769228,µg/m3,19.533481534830774,NOX as NO2,Station_GB0034R,2017.0
Greater%20Manchester,27.68686090304945,23.553971743014085,µg/m3,28.908985065316802,NOX as NO2,Station_GB0864A,2017.0
Greater%20Manchester,90.66527363236916,32.10304976805714,µg/m3,61.50216843192737,NOX as NO2,Station_GB1031A,2017.0
Greater%20Manchester,57.86856125978023,27.830819722136987,µg/m3,40.60998861892562,NOX as NO2,Station_GB1040A,2017.0
Greater%20Manchester,64.26834399016529,37.65368624988981,µg/m3,48.98496580895317,NOX as NO2,Station_GB0613A,2018.0
Greater%20Manchester,35.476050079501384,32.43526596853521,µg/m3,37.06452041401114,NOX as NO2,Station_GB0660A,2018.0
Greater%20Manchester,16.29054538125874,15.356865136573427,µg/m3,19.40747730388112,NOX as NO2,Station_GB0034R,2018.0
Greater%20Manchester,24.909334434831457,21.73991742522857,µg/m3,25.685641417158774,NOX as NO2,Station_GB0864A,2018.0
Greater%20Manchester,75.5091158554648,23.162411484290654,µg/m3,49.706032489570205,NOX as NO2,Station_GB1031A,2018.0
Greater%20Manchester,44.65152043468493,27.989969064301373,µg/m3,37.37135364019178,NOX as NO2,Station_GB1040A,2018.0
Greater%20Manchester,45.83914924864943,32.757784204005766,µg/m3,39.246069880951005,NO2,Station_GB0613A,2016.0
Greater%20Manchester,29.58737870412921,27.340390623874537,µg/m3,28.51642614322946,NO2,Station_GB0660A,2016.0
Greater%20Manchester,14.300059169614324,14.267696938181818,µg/m3,18.28395591922865,NO2,Station_GB0034R,2016.0
Greater%20Manchester,20.64450730170659,20.66479638188755,µg/m3,21.460680357861445,NO2,Station_GB0864A,2016.0
Greater%20Manchester,41.689806263342625,16.907120793803685,µg/m3,26.692895067450426,NO2,Station_GB1031A,2016.0
Greater%20Manchester,33.00387596167147,19.718131039855074,µg/m3,25.705872721101446,NO2,Station_GB1040A,2016.0
Greater%20Manchester,40.2807179956338,28.462171543811323,µg/m3,34.43705444704225,NO2,Station_GB0613A,2017.0
Greater%20Manchester,27.820827524230772,25.135378440333337,µg/m3,23.5702625306887,NO2,Station_GB0660A,2017.0
Greater%20Manchester,12.587766755648147,11.583609996584617,µg/m3,14.516572950461539,NO2,Station_GB0034R,2017.0
Greater%20Manchester,17.57768744104396,17.209510418647888,µg/m3,18.60736040969697,NO2,Station_GB0864A,2017.0
Greater%20Manchester,40.168823935592286,16.99349459625714,µg/m3,27.805218432067043,NO2,Station_GB1031A,2017.0
Greater%20Manchester,31.773202908516485,18.099256105397263,µg/m3,24.766931924848485,NO2,Station_GB1040A,2017.0
Greater%20Manchester,39.439879169586774,27.40539476256199,µg/m3,32.39015652539945,NO2,Station_GB0613A,2018.0
Greater%20Manchester,23.874303874210526,23.57074379938028,µg/m3,24.428862280501395,NO2,Station_GB0660A,2018.0
Greater%20Manchester,13.600719087342657,12.132406674650351,µg/m3,15.084466989545454,NO2,Station_GB0034R,2018.0
Greater%20Manchester,16.6094794627809,16.218539996457142,µg/m3,17.740500386211696,NO2,Station_GB0864A,2018.0
Greater%20Manchester,35.12757934819718,14.142498092768166,µg/m3,24.02079028292264,NO2,Station_GB1031A,2018.0
Greater%20Manchester,26.997284544219184,18.717015338630137,µg/m3,23.601439695041098,NO2,Station_GB1040A,2018.0
Amsterdam,21.64757575375758,21.41610941863222,µg/m3,22.825835862735563,PM10,STA-NL00007,2016.0
